Article,Fig,X_axis_label,Rate,Pyruvate,NADH,Lactate,NAD,Raw_X_axis,Raw_Y_axis,Raw_Vmax
Zewe_JBC_1962,Fig9,Pyruvate,0.366477272,0.000138494,4.24E-05,4.00E-02,0,7.22054526,4.44631579,1.62947368
Zewe_JBC_1962,Fig9,Pyruvate,0.826923073,0.000737341,4.24E-05,2.40E-02,0,1.35622436,1.97052632,1.62947368
Zewe_JBC_1962,Fig9,Pyruvate,0.732954545,0.000477235,4.24E-05,2.40E-02,0,2.09540565,2.22315789,1.62947368
Zewe_JBC_1962,Fig9,Pyruvate,0.658163265,0.000322841,4.24E-05,2.40E-02,0,3.09749773,2.47578947,1.62947368
Zewe_JBC_1962,Fig9,Pyruvate,0.515999998,0.000184671,4.24E-05,2.40E-02,0,5.41503995,3.15789474,1.62947368
Zewe_JBC_1962,Fig9,Pyruvate,0.438775509,0.000138044,4.24E-05,2.40E-02,0,7.24405568,3.71368421,1.62947368
Zewe_JBC_1962,Fig9,Pyruvate,0.89583333,0.000730766,4.24E-05,0.00E+00,0,1.36842764,1.81894737,1.62947368
Zewe_JBC_1962,Fig9,Pyruvate,0.837662335,0.000471728,4.24E-05,0.00E+00,0,2.11986492,1.94526316,1.62947368
Zewe_JBC_1962,Fig9,Pyruvate,0.786585363,0.000322929,4.24E-05,0.00E+00,0,3.09665431,2.07157895,1.62947368
Zewe_JBC_1962,Fig9,Pyruvate,0.638613859,0.000184714,4.24E-05,0.00E+00,0,5.41377481,2.55157895,1.62947368
Zewe_JBC_1962,Fig9,Pyruvate,0.522267205,0.00013783,4.24E-05,0.00E+00,0,7.25533646,3.12,1.62947368
Zewe_JBC_1962,Fig10,NADH,0.496872643,4.60E-04,4.44622E-05,7.20E-02,0,2.24910174,2.93729144,1.45945976
Zewe_JBC_1962,Fig10,NADH,0.475128833,4.60E-04,3.23299E-05,7.20E-02,0,3.09310997,3.07171373,1.45945976
Zewe_JBC_1962,Fig10,NADH,0.428188314,4.60E-04,2.27595E-05,7.20E-02,0,4.39377208,3.40845304,1.45945976
Zewe_JBC_1962,Fig10,NADH,0.373550769,4.60E-04,1.63293E-05,7.20E-02,0,6.12397086,3.90699172,1.45945976
Zewe_JBC_1962,Fig10,NADH,0.318567678,4.60E-04,1.29501E-05,7.20E-02,0,7.72195816,4.58131775,1.45945976
Zewe_JBC_1962,Fig10,NADH,0.547226563,4.60E-04,4.42464E-05,5.40E-02,0,2.26006915,2.66701191,1.45945976
Zewe_JBC_1962,Fig10,NADH,0.519715292,4.60E-04,3.22151E-05,5.40E-02,0,3.10413763,2.80819091,1.45945976
Zewe_JBC_1962,Fig10,NADH,0.477397631,4.60E-04,2.28453E-05,5.40E-02,0,4.37726071,3.05711563,1.45945976
Zewe_JBC_1962,Fig10,NADH,0.41599786,4.60E-04,1.63031E-05,5.40E-02,0,6.13379332,3.50833478,1.45945976
Zewe_JBC_1962,Fig10,NADH,0.367325754,4.60E-04,1.29368E-05,5.40E-02,0,7.72991255,3.97320292,1.45945976
Zewe_JBC_1962,Fig10,NADH,0.657097798,4.60E-04,4.43244E-05,2.72E-02,0,2.25609196,2.22106932,1.45945976
Zewe_JBC_1962,Fig10,NADH,0.634148137,4.60E-04,3.24019E-05,2.72E-02,0,3.08624027,2.30144926,1.45945976
Zewe_JBC_1962,Fig10,NADH,0.554623327,4.60E-04,2.28652E-05,2.72E-02,0,4.3734643,2.63144316,1.45945976
Zewe_JBC_1962,Fig10,NADH,0.498573782,4.60E-04,1.63526E-05,2.72E-02,0,6.1152331,2.92726937,1.45945976
Zewe_JBC_1962,Fig10,NADH,0.430247817,4.60E-04,1.29679E-05,2.72E-02,0,7.71135232,3.39213751,1.45945976
Zewe_JBC_1962,Fig10,NADH,0.797871418,4.60E-04,4.46584E-05,0.00E+00,0,2.23921902,1.82919168,1.45945976
